nr_pos,data,url,liczba_glos,kadencja
14,16 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1512,5,8
14,17 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1513,1,8
14,18 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1514,46,8
13,9 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1509,2,8
13,11 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1511,43,8
12,25 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1507,35,8
12,26 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1508,4,8
11,9 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1503,3,8
11,11 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1505,36,8
10,28 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1501,153,8
10,29 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1502,218,8
8,14 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1496,5,8
8,15 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1497,20,8
7,29 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1493,43,8
7,30 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1494,32,8
6,21 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1491,4,8
6,22 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1492,68,8
5,15 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1488,1,8
5,16 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1489,27,8
5,17 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1490,14,8
4,9 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1486,7,8
4,10 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1487,4,8
3,2 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1484,13,8
2,25 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1482,29,8
1,12 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1476,8,8
1,13 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1478,4,8
1,16 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1479,7,8
1,18 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1480,26,8
1,19 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1481,33,8
